Poste,Entreprise,Ville,Type de contrat,Expérience,Lien
Consultant analyste,Accuracy,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/accuracy/jobs/consultant-analyste-casablanca/apply
Head of Growth/Marketing - (They/She/He),Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/head-of-growthmarketing---theyshehe-casablanca/apply
Data Engineer Manager,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-engineer-manager-casablanca/apply
Tech Lead Expérimenté F/H,Deloitte Extended Services,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-6748-tech-lead-experimente-fh-casablanca/apply
Manager / Senior Manager SAP F/H,Deloitte Extended Services,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-3235-manager-senior-manager-sap-fh-casablanca/apply
Consultant Junior – Transformation Finance (H/F),Deloitte Extended Services,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-3377-consultant-junior-transformation-finance-hf-casablanca/apply
Consultant Expérimenté Oracle Cloud ERP F/H,Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-5737-consultant-experimente-oracle-cloud-erp-fh-casablanca/apply
Consultant Expérimenté Transaction Services FSI - Secteur Banque/Assurance (H/F),Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-5879-consultant-experimente-transaction-services-fsi---secteur-banqueassurance-hf-casablanca/apply
Ingénieur Expérimenté Cloud F/H,Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-5929-ingenieur-experimente-cloud-fh-casablanca/apply
Consultant Software Asset Management (H/F),Deloitte Extended Services,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-6303-consultant-software-asset-management-hf-casablanca/apply
Architecte Expérimenté Cloud F/H,Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-6610-architecte-experimente-cloud-fh-casablanca/apply
Software Engineer Expérimenté F/H,Deloitte Extended Services,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-6755-software-engineer-experimente-fh-casablanca/apply
Consultant Expérimenté Reporting Consolidé F/H,Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/r-6949-consultant-experimente-reporting-consolide-fh-casablanca/apply
Électromécanicien,Maghreb Industries,Nouasseur,CDI,3-5,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/electromecanicien-nouasseur/apply
Chaudronnier,Maghreb Industries,Nouasseur,CDI,3-5,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/chaudronnier-nouasseur/apply
Community Manager,Effyis Group,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/effyis-group/jobs/community-manager-casablanca/apply
Sales Executive-Tanger,Glovo,Tanger,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/sales-executive-tanger-tanger/apply
Développeur Junior RPA,Intelcia,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/intelcia/jobs/developpeur-junior-rpa/apply
STAGE PFE,Intelcia,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/intelcia/jobs/stage-pfe/apply
Chef de projet AMOA,Intelcia,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/intelcia/jobs/chef-de-projet-amoa/apply
Communications Manager,Intelcia,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/intelcia/jobs/communications-manager/apply
Concepteur Vendeur (commercial),KITEA,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/concepteur-vendeur-commercial-casablanca/apply
Product Manager (Sobrus SNS),Sobrus,Témara,CDI,3-5,https://www.jobzyn.com/fr/companies/sobrus/jobs/product-manager-sobrus-sns-temara/apply
Chief Technology Officer (CTO),LNKO,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/lnko/jobs/chief-technology-officer-cto-casablanca/apply
Chief Operating Officer (COO),Sobrus,Temara,CDI,6-9,https://www.jobzyn.com/fr/companies/sobrus/jobs/chief-operating-officer-coo-temara/apply
Responsable des opérations,Innoflex,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/innoflex/jobs/responsable-des-operations-casablanca/apply
Chef de Produit Compléments Alimentaires,Bottu,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/bottu/jobs/chef-de-produit-complements-alimentaires-casablanca/apply
Sales performance Manager,YoLa Fresh,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/yola-fresh/jobs/sales-performance-manager-casablanca/apply
Chef de section,KITEA,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/chef-de-section-casablanca/apply
Accounting Junior,Cypher,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/cypher/jobs/accounting-junior-casablanca/apply
Financial Analyst,Cypher,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cypher/jobs/financial-analyst-casablanca/apply
Responsable Financier,Royal Air Maroc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/royal-air-maroc/jobs/responsable-financier-casablanca/apply
E-Commerce Product Manager,Royal Air Maroc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/royal-air-maroc/jobs/e-commerce-product-manager-casablanca/apply
Project Management Officer,Royal Air Maroc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/royal-air-maroc/jobs/project-management-officer-casablanca/apply
Data scientist,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/data-scientist-casablanca/apply
Coordinateur(trice) Commerciale,Mafoder,,CDI,0-2,https://www.jobzyn.com/fr/companies/mafoder/jobs/coordinateurtrice-commerciale/apply
Manager Commercial (Voirie / Eau / BTP /Béton),Mafoder,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/mafoder/jobs/manager-commercial-voirie--eau--btp-beton-casablanca/apply
Chef de projets H/F (Aménagement Urbain & Façade),Mafoder,,CDI,6-9,https://www.jobzyn.com/fr/companies/mafoder/jobs/chef-de-projets-hf-amenagement-urbain--facade-/apply
Senior Product Manager SaaS (Univers pharmacie),Sobrus,Témara,CDI,3-5,https://www.jobzyn.com/fr/companies/sobrus/jobs/-senior-product-manager-saas-univers-pharmacie/apply
Responsable Grands Comptes - Distribution des Produits Alimentaires,YoLa Fresh,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/yola-fresh/jobs/responsable-grands-comptes---distribution-des-produits-alimentaires-casablanca/apply
Responsable des Opérations,KITEA,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/responsable-des-operations-kenitra/apply
Product & Delivery Consultant,Theodo Morocco,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/product-delivery-consultant-casablanca/apply
Responsable Administratif et Financier,Bottu,Kénitra,CDI,10-et,https://www.jobzyn.com/fr/companies/bottu/jobs/responsable-administratif-et-financier-kenitra/apply
Juriste senior,Bottu,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/bottu/jobs/juriste-senior-casablanca/apply
Talent acquisition specialist,Effyis Group,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/effyis-group/jobs/talent-acquisition-specialist-casablanca/apply
Mobile Developer,Mynk,Casablanca,Autre,3-5,https://www.jobzyn.com/fr/companies/mynk/jobs/mobile-developer-casablanca/apply
Growth Marketing Manager,Innoflex,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/innoflex/jobs/growth-marketing-manager-casablanca/apply
Moderation Specialist,Sobrus,Témara,CDI,0-2,https://www.jobzyn.com/fr/companies/sobrus/jobs/moderation-specialist-temara/apply
Expert SOC,CIH Bank,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cih-bank/jobs/expert-soc-casablanca/apply
Responsable digital retail,Cosmetica,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cosmetica/jobs/responsable-digital-retail-casablanca/apply
Account Manager - Marketplace,Sobrus,Témara,CDI,3-5,https://www.jobzyn.com/fr/companies/sobrus/jobs/account-manager---marketplace-temara/apply
Finance and Admin Analyst Stagiaire,Agenz,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/agenz/jobs/finance-and-admin-analyst-stagiaire-casablanca/apply
Technicien Application Informatique et Helpdesk,Sterifil,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/sterifil/jobs/technicien-application-informatique-et-helpdesk-casablanca/apply
"Technico-Commercial (e) (Voirie, béton, mobilier urbain) - Agadir & Régions",Mafoder,,CDI,0-2,https://www.jobzyn.com/fr/companies/mafoder/jobs/technico-commercial-e-voirie-beton-mobilier-urbain---agadir-regions/apply
Responsable Développement de Produits et Prescription (Voirie / Eau / BTP /Béton),Mafoder,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/mafoder/jobs/responsable-developpement-de-produits-et-prescription-voirie--eau--btp-beton-casablanca/apply
Chef de projet senior - Activité Recouvrement,CIH Bank,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cih-bank/jobs/chef-de-projet-senior----activite-recouvrement--casablanca/apply
Manager Construction industrielle,ManpowerGroup Maroc,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/manager-construction-industrielle-casablanca/apply
Senior Full-stack developer,Userguest,,Freelance,6-9,https://www.jobzyn.com/fr/companies/userguest/jobs/senior-full-stack-developer/apply
Responsable Marketing,Michoc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/michoc/jobs/responsable-marketing-casablanca/apply
Full Stack Developer,Mynk,Casablanca,Autre,3-5,https://www.jobzyn.com/fr/companies/mynk/jobs/full-stack-developer-casablanca/apply
Responsable Usinage (Fonderie),Mafoder,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/mafoder/jobs/chef-datelier-usinage-fonderie-casablanca/apply
Senior Front-End Developer,Userguest,,Freelance,6-9,https://www.jobzyn.com/fr/companies/userguest/jobs/senior-front-end-developer/apply
Chef d'équipe centre de distribution,YoLa Fresh,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/yola-fresh/jobs/chef-dequipe-centre-de-distribution-casablanca/apply
QC Executive/ Agréeur Qualité,YoLa Fresh,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/yola-fresh/jobs/qc-executive-agreeur-qualite-casablanca/apply
Directeur des ventes,ManpowerGroup Maroc,Tangier,CDI,6-9,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/directeur-des-ventes-tangier/apply
Chef de projet senior - Activité finance,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/chef-de-projet-senior---activite-finance-casablanca/apply
Commercial,ManpowerGroup Maroc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/commercial-casablanca/apply
Auditeur Interne,ManpowerGroup Maroc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/auditeur-interne-casablanca/apply
Superviseur HSE,ManpowerGroup Maroc,,CDI,3-5,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/superviseur-hse/apply
Chargé(e) de clientèle,ManpowerGroup Maroc,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/chargee-de-clientele-casablanca/apply
Front-End ReactJS Developer,Sobrus,Temara,CDI,3-5,https://www.jobzyn.com/fr/companies/sobrus/jobs/front-end-reactjs-developer-temara/apply
IT Manager,ManpowerGroup Maroc,Tanger,CDI,6-9,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/it-manager-tanger/apply
"Technico-Commercial (Voirie, béton, mobilier urbain)",Mafoder,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/mafoder/jobs/technico-commercial-voirie-beton-mobilier-urbain-casablanca/apply
Area Manager,Royal Air Maroc,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/royal-air-maroc/jobs/area-manager-casablanca/apply
Brand manager junior,Cosmetica,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/cosmetica/jobs/brand-manager-junior-casablanca/apply
Formatrice itinérante marque sélective,Cosmetica,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cosmetica/jobs/formatrice-itinerante-marque-selective-casablanca/apply
Business account developer,Effyis Group,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/effyis-group/jobs/business-account-developer-casablanca/apply
Directeur de production,ManpowerGroup Maroc,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/manpowergroup-maroc/jobs/directeur-de-production-casablanca/apply
Stagiaire Business Development,Mynk,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/mynk/jobs/stagiaire-business-development-casablanca/apply
Stagiaire CRM,Mynk,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/mynk/jobs/stagiaire-crm-casablanca/apply
Analyste Risques de Marché et Financiers,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/analyste-risques-de-marche-et-financiers-casablanca/apply
Chef de projet sécurité SI,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/chef-de-projet-securite-si-casablanca/apply
Analyste risque quantitatif,CIH Bank,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/cih-bank/jobs/analyste-risque-quantitatif-casablanca/apply
Chef de projet senior - Activité Risque,CIH Bank,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cih-bank/jobs/chef-de-projet-senior---activite-risque--casablanca/apply
Analyste ALM,CIH Bank,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cih-bank/jobs/analyste-alm-casablanca/apply
PMO,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/pmo-casablanca/apply
Assistant(e) Commercial(e),KITEA,Casablanca,Autre,0-2,https://www.jobzyn.com/fr/companies/kitea/jobs/assistante-commerciale-casablanca/apply
Directeur Magasin Adjoint,KITEA,,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/directeur-magasin-adjoint/apply
Responsable Merchandising & Visuel,KITEA,Rabat,CDI,0-2,https://www.jobzyn.com/fr/companies/kitea/jobs/responsable-merchandising--visuel-rabat/apply
QA Tester,Sobrus,Témara,CDI,3-5,https://www.jobzyn.com/fr/companies/sobrus/jobs/qa-tester--temara/apply
Chargé de la relation client,Sobrus,Temara,CDI,0-2,https://www.jobzyn.com/fr/companies/sobrus/jobs/charge-de-la-relation-client-temara/apply
Responsable Achats,Michoc,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/michoc/jobs/responsable-achats-casablanca/apply
Responsable consolidation et contrôle financier,KITEA,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/kitea/jobs/responsable-consolidation-et-controle-financier-casablanca/apply
E-commerce Manager,Innoflex,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/innoflex/jobs/e-commerce-manager-casablanca/apply
Chef de projet AMOA,CIH Bank,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cih-bank/jobs/chef-de-projet-amoa-casablanca/apply
Responsable administratif et financier,SoPharma,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/sopharma/jobs/responsable-administratif-et-financier-casablanca/apply
Trader desk change,CIH Bank,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/cih-bank/jobs/trader-desk-change-casablanca/apply
Product owner operation à l'internationale,CIH Bank,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/cih-bank/jobs/product-owner-operation-a-linternationale-casablanca/apply
Conseiller(e) Commercial en mobilier,Sketch Design,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/conseillere-commercial-en-mobilier-casablanca/apply
Conseiller(e) Commercial en mobilier,Sketch Design,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/conseillere-commercial-en-mobilier--rabat/apply
Conseiller(e) Commercial en mobilier,Sketch Design,Tanger,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/conseillere-commercial-en-mobilier--tanger/apply
Responsable Administratif et Financier,Guichet,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/guichet/jobs/responsable-administratif-et-financier-casablanca/apply
Assistante RH,Innoflex,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/innoflex/jobs/assistante-rh-casablanca/apply
Acheteur,KITEA,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/acheteur-casablanca/apply
Administrateur des ventes,SoPharma,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/sopharma/jobs/administrateur-des-ventes--casablanca/apply
Stage bras droit CEO,Sketch Design,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/sketch-design/jobs/stage-bras-droit-ceo-casablanca/apply
Visuel Merchandising,Sketch Design,Rabat,CDI,0-2,https://www.jobzyn.com/fr/companies/sketch-design/jobs/visuel-merchandising-rabat/apply
Responsable des livraisons,Sketch Design,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/responsable-des-livraisons-rabat/apply
Responsable du Service Après-vente,Sketch Design,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/responsable-du-service-apres-vente-rabat/apply
Ingénieur en IA,Microdata,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/microdata/jobs/ingenieur-en-ia-casablanca/apply
Chef d’équipe Maintenance industrielle,Michoc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/michoc/jobs/chef-dequipe-maintenance-industrielle--casablanca/apply
Chef de Projet Maintenance,Michoc,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/michoc/jobs/chef-de-projet-maintenance-casablanca/apply
Sales Executive,Glovo,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/sales-executive-rabat/apply
Logistics as a Service Manager,Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/logistics-as-a-service-manager-casablanca/apply
Brands Partnership Associate,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/brands-partnership-associate-casablanca/apply
DarkStore Commercial manager,Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/darkstore-commercial-manager-casablanca/apply
Inbound Sales Executive,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/inbound-sales-executive-casablanca/apply
HR Manager,Kifal Auto,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kifal-auto/jobs/hr-manager-casablanca/apply
Senior finance analyst,Kifal Auto,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kifal-auto/jobs/senior-finance-analyst-casablanca/apply
Regional Area Manager,Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/regional-area-manager-casablanca/apply
Sales Executive,Glovo,Tanger,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/sales-executive-tanger/apply
IT Service Desk,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/it-service-desk-casablanca/apply
Délégué médical Dermatologie,SoPharma,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/sopharma/jobs/delegue-medical-dermatologie-casablanca/apply
Portfolio Manager,Agenz,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/agenz/jobs/portfolio-manager-casablanca/apply
Conseiller Commercial,Sketch Design,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/sketch-design/jobs/conseiller-commercial-rabat/apply
Office manager,Guichet,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/guichet/jobs/office-manager-casablanca/apply
Stage office manager,Guichet,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/guichet/jobs/stage-office-manager-casablanca/apply
Stage account manager,Guichet,Casablanca,Stage,0-2,https://www.jobzyn.com/fr/companies/guichet/jobs/stage-account-manager-casablanca/apply
Sales Executive,Glovo,Fès,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/sales-executive-fes/apply
Senior Category Manager - User Experience,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/senior-category-manager---user-experience-casablanca/apply
Micro Fullfilment Center Area Manager II,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/micro-fullfilment-center-area-manager-ii--casablanca/apply
Account Manager,Glovo,Marrakech,CDI,0-2,https://www.jobzyn.com/fr/companies/glovo/jobs/account-manager-marrakech/apply
Inventory Manager,Glovo,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/inventory-manager-casablanca/apply
Business Developer,Glovo,Marrakech,CDI,3-5,https://www.jobzyn.com/fr/companies/glovo/jobs/business-developer-marrakech/apply
Head of Operations,Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/head-of-operations-casablanca/apply
Full Stack NextJs/NodeJS,Agenz,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/agenz/jobs/full-stack-nextjsnodejs-casablanca/apply
